"Type","Sentence"
"sci","), в том числе 17 раз на участке «буртинская степь», дважды на участке «таловская степь» (попадалась в ловчие канавки) и по одному разу на участках «предуральская степь» (кордон сармат) и «айтуарская степь» (по балке шинбутак)."
"sci","), на участке «айтуарская степь» – шесть видов (asplenium ruta-muraria l., a. septentrionale (l.) hoffm., a. trichomanes l., cystopteris fragilis (l.) bernh., salvinia natans (l.) all., thelypteris palustris schott.)."
"sci","), околоводной у родника кайнар (горевшей) и типичной степной (горевшей) площадках участка, а также в его типичных степных сообществах на маршрутах по водораздельному плато."
"sci","), растущей у плотины пруда на участке «таловская степь»."
"sci","), сформировала степные почвы, но при распространении кустарников химические свойства начали приближаться к лесным."
"sci","); 	разработка ландшафтно-аналогового подхода к оптимизации степного природопользования; 	обоснование необходимости создания единой непрерывной сети природных резерватов (оопт) по всему широтному поясу степной и примыкающих к ней зон."
"sci","*восточно-европейская полёвка – microtus rossiaemeridionalis ognev, 1924  считается политипическим видом-двойником обыкновенной полёвки, с которой симпатрически встречается в степях восточной европы."
"fict","...степь."
"fict",": #c02comm0143_c4 происходил он от старинного дома, некогда богатого; деды его жили пышно, по-степному, то есть принимали званых и незваных, кормили их на убой, отпускали по четверти овса чужим кучерам на тройку, держали музыкантов, песельников, гаеров и собак, в торжественные дни поили народ вином и брагой, по зимам ездили в москву на своих, в тяжелых колымагах, а иногда по целым месяцам сидели без гроша и питались домашней живностью."
"sci","; участок «айтуарская степь», балка шинбутак, в ловушку, 1 самец – 24–29.05.2018 г.; дорога в пойме р. урал, 1 самка – 25.08.2018 г., в.а."
"sci","; участок «буртинская степь», залежь, в ловушку, 1 самка – 20–27.08.2018 г., в.а."
"fict","[в местах совершенно безлесных тока происходят в степи, на голой земле, но предпочтительно на местах высоких и открытых."
"sci","[доклад…, 2017], для зауральской степи этот показатель по нашим данным составляет +0,43 °с/10 лет за период 1991-2021 гг."
"fict","[название «орловской степи» носила соседственная с вишенками земля, отдаваемая внаймы от казны, но прежде принадлежавшая графу орлову."
"fict","[по степным дорогам оренбургской губернии вехи становятся частые, довольно толстые и высокие."
"fict","«…владе-еть землей!» — ликующим вскриком взвихрились невнятные от расстояния слова, и вновь тишина расплеснулась над степью."
"sci","«айтуарская степь», площадью 6753 га – эталон низкогорно-холмистой типчаково-ковыльной и разнотравно-злаковой степи с системой горных балок и приручьевых лесных урочищ."
"sci","«айтуарская степь»."
"sci","«ащисайская степь» (площадь 7200 га) представляет собой заповедный эталон полого-волнистой типчаково-ковыльной полынной степи на солонцеватых темно-каштановых почвах с пересыхающими озёрными, озёрно-солончаковыми впадинами и грядами скальных выходов."
"sci","«ащисайская степь»."
"sci","«буртинская степь»."
"fict","«в степи широкой… утку упустили, салакушки», — обрадованно подумал венька."
"sci","«великая степь»       «великая степь» – это название повсеместно используется для обозначения степной зоны евразийского континента, находящейся в его центральной части и простирающейся практически от берегов тихого океана до восточной европы, и от реки хуанхэ до берегов ледовитого океана."
"fict","«здесь продаются разных мастей лошади, приведенные на лебедянскую ярмарку с известного степного завода анастасея иваныча чернобая, тамбовского помещика."
"sci","«земельная реформа 90-х» уже концу 1980-х в ссср сформировались социальные заказы на рыночный оборот земель, с которым связывались возможности достижения высокой эффективности сельского хозяйства, и на сохранение и восстановление почв и наиболее пострадавших экосистем, прежде всего степных, при этом сохранялась потребность в социальной справедливости с сильной оппозицией частной собственности на землю."
"sci","«значение степных заповедников в общих чертах, конечно, такое же, как и заповедников вообще."
"sci","«из рептилий для буртинской степи обычны черепаха болотная, ящерица прыткая и гадюка степная» (с."
"sci","«изучение степей в заповедниках даст ответы на важнейшие теоретические вопросы, связанные со «степной» проблемой."
"fict","«однообразный и пустынный вид оной утомляет глаз путешественника», — писал о степи екатерининский ученый паллас."
"fict","«он, говорит, с утра меня на лобогрейке сменил, вон он гоняет по степи, скидывает»."
"sci","«предуральская степь» было завезено 6 лошадей, из которых 4 (жеребец и 3 кобылы) принадлежали к одной, ранее сформированной гаремной группе и одна 7-летняя кобыла со своим прошлогодним жеребёнком была из другой группы (из полурезервата ле вилларе, франция)."
"sci","«раньше мы указывали, что чернозём – наше богатство, наш капитал – образовался за счёт степной растительности, но как это происходит?"
"fict","«способных к труду употреблять на казенные работы, неспособных расселять по городам и укреплениям степных областей» петербург хотел обеспечить свои дальние границы, освоить новый край — и одновременно уничтожить остатки вольницы на яике."
"sci","«сталинский план» в начале xx века научная мысль, направленная на противодействие засухам и оптимизацию аграрного степного землепользования в россии, продолжала развиваться, основополагающее учение в.в."
"sci","«таловская степь»."
"fict","«тоже не верит», — с обидою думаю я и снова смотрю в степь, но женщины уже не видать."
"fict","…григорий видел во сне широкую степь, развернутый, приготовившийся к атаке полк."
"fict","…степь без конца и края."
"sci","1), а в степях встречены единичные особи."
"sci","1), иллюзия экспансии степей создаётся из-за частых пожаров."
"sci","1), наиболее часто встречаются в ащисайской степи в летний период, где и зафиксировано наибольшее количество гнездовых находок (см."
"sci","1, группа «приуроченные к плакорным и склоновым степям»)."
"sci","1, следует, что кустарники наименее своеобразны по занимаемой геоморфологической нише и примерно с равной вероятностью могут заходить в типично степные и типично лесные местоположения либо занимать местоположения, равно пригодные для любого типа растительности."
"fict","1. это не было дымкой сухости, мглою ли тонкой облачной, какая с темнотою, бывает, затягивает незнаемо откуда и как небо, гася по-летнему тусклые и теплые звезды в едва угадываемой мерклой вышине, неся с собой какую-никакую прохладу перегоревшей, ископыченной суховеями степи, истомленной огородной ботве, осаживая прозрачную, невесомую в закатном воздухе пыль, возвратившимся стадом поднятую горьковатую страдную пыль второго спаса, какой дышат поздними вечерами, в какой забываются беспамятным сном усталые селенья."
"sci","10), явно предпочитая ксерофитные сообщества на участках «ащисайская степь» и «таловская степь», а в более мезофитных сообществах этих и участка «буртинская степь» встречается примерно в 2 раза реже; среди отловленных грызунов на участке «айтуарская степь» она не отмечалась."
"sci","10.	весь комплекс проведённых исследований по проблеме переброски части стока р. обь в аральский бассейн способствовал стремительному развитию географической науки в оренбуржье, итогом чего стала организация института степи уро ран в 1996 г., которому исполняется 25 лет."
"sci","11.	проект переброски вод не состоялся (1986), но оставил важнейшее степеведческое наследие в виде гпз «оренбургский» (1989) и института степи уро ран (1996)."
"sci","12), хотя наиболее многочисленной бывает в экотонных сообществах лесных окраин и опушек, на которых на участке «буртинская степь» иногда приходится около половины отловленных здесь микромаммалий."
"fict","13            через час он был уже возле стана третьей бригады, но еще издали заметил, что в бригаде творится что -то неладное: добрая половина косилок не работала, по степи там и сям ходили стреноженные лошади, подсохшие валки сена никто не сгребал, и ни единой копешки не виднелось до самого горизонта…      возле бригадной будки на разостланном рядне шестеро казаков резались в карты, седьмой — подшивал развалившийся чирик, а восьмой — спал, уютно устроившись в холодке возле заднего колеса будки, уткнувшись лицом в скомканный и грязный брезентовый плащ."
"fict","13 из уральска луша уехала с вязниковцевым в сламихино, богатую степную станицу, коренное и давнее гнездо староверов."
"fict","15  корсук (корсак) –вид мелкой степной лисы."
"sci","17 особей были отловлены в лугово-степном сообществе у пруда на участке «ащисайская степь»."
"sci","18.05 на пруду у кордона заповедного участка «ащисайская степь» обнаружены 2 гнездящиеся пары степного луня."
"fict","19            ночь…      на север от гремячего лога, далеко-далеко за увалами сумеречных степных гребней, за логами и балками, за сплошняками лесов — столица советского союза."
"sci","2 экземпляра жука были отловлены нами на участке «айтуарская степь» заповедника «оренбургский» (примерно в 480 км на восток от участка «таловская степь» и в 30 км восточнее пос."
"sci","2) и признавать только два коренных состояния, то в целом под кустарниками химические свойства чаще ближе к степным почвам (64% исследованных урочищ), чем к лесным (36%)."
"sci","2) почвы под кустарниками также оказались наименее своеобразны по химическому составу, причём они химически ближе к степным почвам, чем к лесным."
"sci","2), и лишь для участка «айтуарская степь» её встречи не известны до настоящего времени."
"sci","2.	ареал внеконкурентного доминирования степных урочищ существенно меньше по площади, чем ареал возможного сосуществования лесных и степных сообществ и ареал внеконкурентного доминирования широколиственных лесов."
"sci","2.	обитание краснобрюхой жерлянки, обыкновенного ужа и узорчатого полоза, ранее отмеченных на участке «буртинская степь», нуждается в подтверждении."
"fict","20 вольным ветром несло с окрестных степных увалов, взгорий полевых, уже подсохших, готовых к бороне, и лишь в укромных лощинках и лесопосадках кое-где белели, дотлевали языки крупнозернистого, исходящего водицей снега — а тракторов со сцепками почти не видно было; изредка попадала зябь на глаза или сквозные, чахлые-таки зеленя, а всё больше серая простиралась, нетронутая весновспашкой прошлогодняя стерня."
"sci","2019 г.: титульные виды: тюльпан шренка – повсеместно, аспекты спорадически, стрепет – плотность сократилась в 5–6 раз, степной орёл – 2–3 гнезда, включая охранную зону, красавка – 2–3 пары, дрофа – единично – данных о гнездовании нет, косуля – от 30 до 60 особей, сурок – 3 колонии, численность стабильная без изменений."
"sci","25) отмечается, что на участке «буртинская степь» этот вид отсутствует, но входит в состав комплекса мелких млекопитающих участка «таловская степь»."
"sci","25–26 апреля 1988 г. комиссия, созданная первомайским райисполкомом, подписала акт выбора участка «таловская степь» под будущий заповедник."
"fict","26            десятого марта с вечера пал над гремячим логом туман, до утра с крыш куреней журчала талая вода, с юга, со степного гребня, набегом шел теплый и мокрый ветер."
"fict","27-го утром в степи, за хутором нижне-грушинским, командир 3-й роты 294-го таганрогского полка, выстроив около дороги красноармейцев, читал только что полученный приказ."
"sci","3. собственные наблюдения в ащисайской степи в 2000, 2001, 2007 и 2008 гг., в таловской и буртинской степях в 2008 году [1, 2, личн."
"sci","3. стихийная самоконсервация пашни с самовосстановлением степей."
"sci","3.	лесные сообщества могут встречаться в более широком диапазоне местоположений, чем степные, в том числе потенциально в местоположениях, в настоящее время занятых степями."
"sci","3.	на основании данных 2018 г. сделана оценка численности амфибий и рептилий на участке: редкие виды – чесночница палласа, болотная черепаха и восточная степная гадюка; малочисленные виды – зелёная жаба и живородящая ящерица; обычные виды – остромордая и озёрная лягушки; многочисленный вид – прыткая ящерица."
"sci","3.	ни в канун земельной реформы, ни к настоящему времени не произошла «децелинизация» идеологии степного землепользования, хотя ещё инициатор целинного проекта признал необходимость его принципиальной корректировки."
"sci","31% современных степных сообществ приурочены к местоположениям, которые с гораздо более высокой вероятностью (более 0,6) соответствуют геоморфологической нише лесов, чем степей."
"fict","4  кроншнеп, или степной кулик     кроншнеп, или степной кулик        русского имени этого кулика объяснять не нужно, но почему немцы называют его коронным, или королевским, куликом, -- я не знаю; на голове его ничего похожего на венец или корону не приметно; может быть, за величину, которою кроншнеп бесспорно превосходит всех других куликов."
"sci","4 самца охотились над участком «предуральская степь», один из них поймал в зарослях кустарника небольшого зверька, очевидно, степную пищуху (ochotona pusilla)."
"sci","4), что у европейского подвида выделяются 5-летние циклы повышения численности, разделяемые на участке «таловская степь» несколькими, а на участках «буртинская степь» и «айтуарская степь» одним годом депрессии."
"fict","4-й заамурский конный полк, с влившимися в него большевиками усть-хоперской, еланской и, частью, вешенской станиц, с боем прошел ряд хуторов, перевалил еланскую грань и степью двигался на запад вдоль дона."
"fict","5  кречетка, или степная пиголица     кречетка, или степная пиголица        без сомнения она так названа по своему крику, или голосу."
"fict","6 солнце уходило за степи."
"sci","6.	степные ландшафты евразии в результате аграрно-социальных мегапроектов окончательно превратились в агроландшафты."
"sci","6], «hunaland» [старшая эдда, 1963], «дешт-и- кипчак» / «кыпчакская степь» [аджи, 2015], «тартария» [карта тартарии …], «евразия» [евразийство (опыт систематического изложения), 2002], «евразийская степь» [гумилев, 2007], «евразийский степной пояс» [черных, 2008]."
"sci","7.	главным ландшафтным наследием «сталинского плана» является лесомелиоративный каркас и искусственные водоёмы, а основное наследие целины и её антипода, земельной реформы – уникальный эксперимент по обновлению степных фитоценозов."
"fict","8            после полуночи по звездному небу тесно, плечом к плечу, пошли беспросветно густые тучи, заморосил по-осеннему нудный, мелкий дождь, и вскоре стало в степи очень темно, прохладно и тихо, как в глубоком, сыром погребе."
"fict","9  коростель     коростель        может быть, покажется странным причисление коростеля к разряду степной, или полевой, дичи, потому что главнейшее его местопребывание -- луга, поросшие изредка кустами, не только лежащие в соседстве болот, но и сами иногда довольно мокрые; все это справедливо: точно, там дергуны живут с весны и там выводят детей, но зато сейчас с молодыми перебираются они в хлеба, потом в травянистые межи и залежи и, наконец, в лесные опушки."
"sci","9) показывает, что на участке «буртинская степь» намечается нечётко выраженная трёхлетняя периодичность, в которой пики разделяются одним-двумя годами с пониженной численностью."
"sci","9.	исследования по переброске части стока р. обь обнажили противоречия и издержки советского степного землепользования, показали истинное критическое положение ландшафтно-биологического разнообразия степей."
"sci","a. macropus охраняется на территории памятников природы регионального значения «берёзовый овраг», «урочище богатырь», «овраг бирючий» (алексеевский р-н), «попов сад» (большеглушицкий р-н), «истоки реки большой иргиз», «грызлы – опустыненная степь», «урочище мулин дол», «костинские лога», «балка кладовая» (большечерниговский р-н), «гостевский шихан» (борский р-н), «прибайкальская настоящая степь» (красноармейский р-н), «вязовская ковыльная степь», «богдановская сыртовая ковыльная степь» (нефтегорский р-н), «серноводный шихан», «горы на реке казачка» (сергиевский р-н), «гора копейка» (похвистневский р-н) и др."
"sci","gnaphosidae (aranei) участка «ащисайская степь» с.л."
"sci","gnaphosidae оставался восточный сектор степной зоны оренбургской области."
"sci","i.	проект докучаева несмотря на то, что в конце xix века «нераспаханные степи с удивительной быстротой исчезали» в средней полосе россии, первыми на это обратили внимание не сами землевладельцы и не чиновники, а учёные, в частности в. в. докучаев, который обосновал необходимость сохранения степных эталонов и предпринял первые практические шаги к этому."
"fict","iii над степью — желтый солнечный зной."
"sci","v.	проекты степных заповедников на дону и в оренбургской области идея организации степного заповедника в бассейне дона появилась в те же годы, когда вопросы заповедания стала поднимать постоянная природоохранительная комиссия рго."
"fict","xi за хутором сетраковым в степи рядами вытянулись повозки с брезентовыми будками."
"sci","xix в.     медленные темпы школьного строительства в степном крае объяснялись рядом объективных обстоятельств, главными их которых стали тесно связанные между собой кадровая проблема и проблема отсутствия письменного казахского языка."
"fict","xix казакует по родимой степи восточный ветер."
"fict","xliii степным всепожирающим палом взбушевало восстание."
"fict","xvii многое передумал и вспомнил григорий за двое суток пути от фронта до родного хутора… чтобы не оставаться в степи одному со своим горем, с неотступными мыслями о наталье, он взял с собой прохора зыкова."
"fict","xviii ранней весною, когда сойдет снег и подсохнет полегшая на зиму трава, в степи начинаются весенние палы."
"fict","а аэроплан, страшно рыча, с буревым ревом и свистом пронесся чуть повыше амбара, на секунду закрыл своей крылатой тенью белый свет от вытаращенных в смертном ужасе старухиных очей,— пронесся и, мягко ударившись колесами о влажную землю хуторского выгона, побежал в степь."
"fict","а в степи по смерзшемуся ковылю, по темному льду замерзших луж бесконечно текут в сторону железнодорожной станции белесые снежные полосы, на пути которых, меж поселком и железной дорогой, стоит обелиск."
"fict","а васька глухой иржет: «приезжай, дед, через год, поживем в степи, кашки с тобой похлебаем."
"fict","а верховная власть - высшее начальство... нет... знаем мы... учены...  таково это степное верноподданство."
"fict","а вслед за несмелыми, недолгими степными оттепелями нагоняло буран."
"fict","а главное — сепаратор и две сенокосилки, впервые попавшие в уральские степи."
"fict","а иногда уходит с венькой и абдуллой аламовым — колхозным пастухом из-под казани — через степь, через мелкий, похожий на ручей урал в старую казачью станицу магнитную."
"fict","а как их много и с каким тихим величием лежат они над серой, бегущей в даль землей… в степи у бивуаков тлеет еще несколько костров."
"fict","а как мне хотелось услышать его рассказы о прежних охотах в каленовской степи!"
"fict","а какие все же здесь степи… и по ним величаво шли верблюды, паслись турпаны, целые табуны куланов проносились, как ветер… под отдаленные раскаты грома долго в темноте рисовал толстой картины прошлого."
